capability,mode,count,pass_index,pose,render_us,setup_us,raster_us,hash
1,copies,4,2,2,6856,3319,3536,b623f1a1ed86951a
1,shared,4,2,0,6123,2631,3491,8d400aea4fa767d8
1,shared,4,2,1,6390,2569,3820,93cc6a2410a42b7a
1,shared,4,2,2,6234,2580,3653,b623f1a1ed86951a
1,copies,8,2,0,14247,6879,7368,45c5e467373996f4
1,copies,8,2,1,13902,6767,7135,0fcaa1c0189db802
1,copies,8,2,2,13817,6769,7048,128ff003cbacf83c
1,shared,8,2,0,12467,5570,6896,45c5e467373996f4
1,shared,8,2,1,12543,5476,7067,0fcaa1c0189db802
1,shared,8,2,2,12502,5460,7042,128ff003cbacf83c
1,copies,12,2,0,22047,10505,11542,0aa8c7cc9f32f9d5
1,copies,12,2,1,21219,10422,10797,7c459ea0eafd5aba
1,copies,12,2,2,21440,10456,10983,102528514baf359e
1,shared,12,2,0,19663,8723,10940,0aa8c7cc9f32f9d5
1,shared,12,2,1,19731,8616,11115,7c459ea0eafd5aba
1,shared,12,2,2,19734,8654,11080,102528514baf359e
1,copies,15,2,0,26207,13150,13056,e2cc0e35a1bcd05d
1,copies,15,2,1,26176,13121,13055,9b849bffb02cb7fd
1,copies,15,2,2,26448,13133,13314,1942e87ef28d48bb
1,shared,15,2,0,24150,11060,13089,e2cc0e35a1bcd05d
1,shared,15,2,1,24443,11062,13380,9b849bffb02cb7fd
1,shared,15,2,2,24236,11065,13171,1942e87ef28d48bb
0,copies,1,0,0,2142,633,1508,3abe1f4cf85487a7
0,copies,1,0,1,1900,635,1265,3067390b1faeef14
0,copies,1,0,2,1968,631,1337,7938dae148c12131
0,copies,2,0,0,3566,1603,1962,b6bc499cd3a5bc88
0,copies,2,0,1,3566,1572,1993,13b2fdb1202bb1e6
0,copies,2,0,2,3600,1572,2027,148fd9d4c75fd130
0,copies,4,0,0,6739,3314,3425,8d400aea4fa767d8
0,copies,4,0,1,6902,3294,3608,93cc6a2410a42b7a
0,copies,4,0,2,6794,3298,3496,b623f1a1ed86951a
0,copies,8,0,0,14102,6813,7289,45c5e467373996f4
0,copies,8,0,1,13892,6724,7167,0fcaa1c0189db802
0,copies,8,0,2,13832,6735,7096,128ff003cbacf83c
0,copies,12,0,0,21988,10348,11640,0aa8c7cc9f32f9d5
0,copies,12,0,1,21160,10256,10903,7c459ea0eafd5aba
0,copies,12,0,2,21361,10279,11082,102528514baf359e
0,copies,15,0,0,26061,12932,13129,e2cc0e35a1bcd05d
0,copies,15,0,1,26033,12918,13114,9b849bffb02cb7fd
0,copies,15,0,2,26310,12920,13389,1942e87ef28d48bb
0,copies,1,1,0,2209,696,1513,3abe1f4cf85487a7
0,copies,1,1,1,1918,703,1214,3067390b1faeef14
0,copies,1,1,2,2010,706,1303,7938dae148c12131
0,copies,2,1,0,3566,1599,1966,b6bc499cd3a5bc88
0,copies,2,1,1,3562,1567,1995,13b2fdb1202bb1e6
0,copies,2,1,2,3604,1568,2036,148fd9d4c75fd130
0,copies,4,1,0,6722,3301,3421,8d400aea4fa767d8
0,copies,4,1,1,7011,3266,3744,93cc6a2410a42b7a
0,copies,4,1,2,6817,3281,3536,b623f1a1ed86951a
0,copies,8,1,0,14073,6776,7296,45c5e467373996f4
0,copies,8,1,1,13982,6663,7319,0fcaa1c0189db802
0,copies,8,1,2,13758,6662,7095,128ff003cbacf83c
0,copies,12,1,0,21966,10329,11637,0aa8c7cc9f32f9d5
0,copies,12,1,1,21150,10247,10903,7c459ea0eafd5aba
0,copies,12,1,2,21363,10284,11079,102528514baf359e
0,copies,15,1,0,26067,12937,13130,e2cc0e35a1bcd05d
0,copies,15,1,1,26026,12913,13112,9b849bffb02cb7fd
0,copies,15,1,2,26301,12912,13389,1942e87ef28d48bb
0,copies,1,2,0,2221,709,1512,3abe1f4cf85487a7
0,copies,1,2,1,1925,711,1214,3067390b1faeef14
0,copies,1,2,2,2011,709,1302,7938dae148c12131
0,copies,2,2,0,3552,1585,1967,b6bc499cd3a5bc88
0,copies,2,2,1,3547,1554,1993,13b2fdb1202bb1e6
0,copies,2,2,2,3600,1569,2030,148fd9d4c75fd130
0,copies,4,2,0,6731,3308,3422,8d400aea4fa767d8
0,copies,4,2,1,7020,3275,3745,93cc6a2410a42b7a
0,copies,4,2,2,6816,3280,3535,b623f1a1ed86951a
0,copies,8,2,0,14065,6776,7289,45c5e467373996f4
0,copies,8,2,1,13954,6667,7286,0fcaa1c0189db802
0,copies,8,2,2,13806,6664,7141,128ff003cbacf83c
0,copies,12,2,0,21966,10326,11639,0aa8c7cc9f32f9d5
0,copies,12,2,1,21146,10248,10898,7c459ea0eafd5aba
0,copies,12,2,2,21357,10281,11076,102528514baf359e
0,copies,15,2,0,26067,12935,13132,e2cc0e35a1bcd05d
0,copies,15,2,1,26033,12920,13113,9b849bffb02cb7fd
0,copies,15,2,2,26308,12919,13389,1942e87ef28d48bb
